k	5.10	5.15	5.20	10.20	10.30	15.30	courses	sushi	skate	14.9
0	10	15	20	20	30	30	146	30	9	9
1	10	15	20	20	30	30	146	30	9	9
2	10	15	20	20	30	30	146	30	9	9
3	10	15	20	20	30	30	146	30	9	9
4	8.99	14.1	18.92	20	30	30	146	30	9	9
5	8.92	13.74	18.72	20	30	30	146	30	9	9
6	8.68	13.46	18.62	20	30	30	146	30	9	9
7	8.52	13.37	18.43	20	30	30	146	30	9	9
8	8.29	13.19	18.28	20	30	30	145.32	30	9	9
9	8.03	13.07	17.91	19.54	29.34	30	144.93	29.23	9	9
10	7.93	12.87	17.72	19.04	28.95	30	144.84	29.08	9	9
11	7.74	12.72	17.42	18.91	28.88	30	144.77	28.94	9	9
12	7.43	12.48	17.25	18.86	28.88	30	144.66	28.84	9	9
13	7.28	12.38	16.94	18.84	28.83	30	144.51	28.74	8.72	8.87
14	7.09	12.19	16.85	18.79	28.78	29.49	144.38	28.68	8.39	8.58
15	6.75	12.13	16.63	18.72	28.75	29.32	144.18	28.6	8.14	8.25
16	6.56	12.04	16.38	18.58	28.7	29.15	143.89	28.49	7.94	7.96
17	6.51	11.87	16.14	18.53	28.58	29.05	143.75	28.36	7.91	7.92
18	6.36	11.67	15.99	18.44	28.53	28.94	143.64	28.18	7.87	7.87
19	6.03	11.41	15.85	18.34	28.5	28.92	143.52	28.01	7.82	7.86
20	5.85	11.17	15.72	18.2	28.37	28.90	143.34	27.93	7.8	7.85
21	5.57	11.15	15.45	18.15	28.33	28.89	143.19	27.78	7.72	7.85
22	5.34	10.88	15.17	18.03	28.2	28.87	143	27.64	7.66	7.84
23	5.22	10.76	15.06	17.96	28.15	28.86	142.86	27.5	7.59	7.83
24	4.98	10.47	14.93	17.9	28.01	28.84	142.68	27.41	7.48	7.83
25	4.87	10.27	14.65	17.84	27.91	28.81	142.55	27.26	7.17	7.82
26	4.69	10.06	14.42	17.76	27.76	28.79	142.42	27.16	6.97	7.82
27	4.59	9.77	14.22	17.69	27.7	28.74	142.23	27.06	6.94	7.82
28	4.56	9.55	14	17.62	27.6	28.68	142.06	26.98	6.82	7.79
29	4.37	9.47	13.82	17.53	27.54	28.64	141.87	26.9	6.78	7.77
30	4.31	9.22	13.62	17.43	27.49	28.58	141.73	26.82	6.71	7.74
31	4.18	8.88	13.39	17.39	27.43	28.53	141.55	26.61	6.68	7.56
32	4.12	8.61	13.11	17.32	27.31	28.42	141.43	26.45	6.64	7.44
33	3.98	8.41	12.97	17.23	27.24	28.36	141.22	26.31	6.58	7.26
34	3.92	8.19	12.8	17.13	27.04	28.32	141.04	26.12	6.47	7.19
35	3.83	7.91	12.62	17.04	27.02	28.27	140.86	26.01	6.35	7.14
36	3.65	7.73	12.39	17.04	26.96	28.19	140.71	25.94	6.17	7.11
37	3.5	7.52	12.24	16.98	26.84	28.08	140.6	25.82	6	7.06
38	3.33	7.49	11.78	16.82	26.74	28.00	140.48	25.75	5.97	7.02
39	3.17	7.32	11.73	16.66	26.72	27.87	140.31	25.64	5.87	6.96
40	3.01	7.15	11.5	16.56	26.68	27.86	140.17	25.49	5.76	6.8
41	2.92	7.01	11.47	16.56	26.63	27.83	139.92	25.35	5.74	6.8
42	2.81	6.86	11.22	16.51	26.57	27.79	139.77	25.22	5.69	6.4
43	2.55	6.67	11	16.46	26.44	27.74	139.63	25.14	5.66	6.4
44	2.48	6.49	10.72	16.39	26.4	27.72	139.48	25.03	5.58	6.4
45	2.31	6.37	10.65	16.18	26.29	27.63	139.33	24.98	5.48	6.31
46	2.26	6.11	10.52	15.99	26.22	27.57	139.2	24.89	5.39	6.22
47	2.07	5.96	10.36	15.84	26	27.49	139.03	24.83	5.18	5.98
48	2	5.85	10.18	15.74	25.95	27.44	138.89	24.67	5.04	5.95
49	1.95	5.77	10.15	15.68	25.95	27.38	138.67	24.54	4.92	5.91
50	1.95	5.53	9.74	15.59	25.89	27.35	138.55	24.37	4.85	5.87
51	1.82	5.45	9.59	15.52	25.83	27.32	138.37	24.27	4.74	5.8
52	1.78	5.37	9.4	15.51	25.79	27.29	138.2	24.14	4.66	5.7
53	1.75	5.12	9.24	15.45	25.74	27.22	138.05	24.08	4.62	5.7
54	1.67	5.06	9.07	15.36	25.65	27.18	137.95	24.01	4.59	5.7
55	1.57	4.97	8.99	15.15	25.6	27.12	137.8	23.93	4.5	5.7
56	1.43	4.95	8.87	15.06	25.47	27.10	137.59	23.88	4.39	5.7
57	1.34	4.8	8.44	14.97	25.37	27.07	137.4	23.82	4.3	5.7
