k	5.10	5.15	5.20	10.20	10.30	15.30	courses	sushi	skate	14.9
0	1	1	1	1	1	1	1	1	1	1
1	1	1	1	1	1	1	1	1	1	1
2	1	1	1	1	1	1	1	1	1	1
3	1	1	1	1	1	1	1	1	1	1
4	0.899	0.94	0.946	1	1	1	1	1	1	1
5	0.892	0.916	0.936	1	1	1	1	1	1	1
6	0.868	0.8973333333	0.931	1	1	1	1	1	1	1
7	0.852	0.8913333333	0.9215	1	1	1	1	1	1	1
8	0.829	0.8793333333	0.914	1	1	1	0.9953424658	1	1	1
9	0.803	0.8713333333	0.8955	0.977	0.978	1	0.9926712329	0.9743333333	1	1
10	0.793	0.858	0.886	0.952	0.965	1	0.9920547945	0.9693333333	1	1
11	0.774	0.848	0.871	0.9455	0.9626666667	1	0.9915753425	0.9646666667	1	1
12	0.743	0.832	0.8625	0.943	0.9626666667	1	0.9908219178	0.9613333333	1	1
13	0.728	0.8253333333	0.847	0.942	0.961	1	0.9897945205	0.958	0.9866666667	0.9755555556
14	0.709	0.8126666667	0.8425	0.9395	0.9593333333	0.9831	0.9889041096	0.956	0.9588888889	0.9588888889
15	0.675	0.8086666667	0.8315	0.936	0.9583333333	0.9773	0.9875342466	0.9533333333	0.9188888889	0.9311111111
16	0.656	0.8026666667	0.819	0.929	0.9566666667	0.9715	0.9855479452	0.9496666667	0.8977777778	0.9044444444
17	0.651	0.7913333333	0.807	0.9265	0.9526666667	0.9682333333	0.9845890411	0.9453333333	0.8877777778	0.8922222222
18	0.636	0.778	0.7995	0.922	0.951	0.9645666667	0.9838356164	0.9393333333	0.8744444444	0.8888888889
19	0.603	0.7606666667	0.7925	0.917	0.95	0.9639333333	0.9830136986	0.9336666667	0.8711111111	0.8755555556
20	0.585	0.7446666667	0.786	0.91	0.9456666667	0.9631666667	0.9817808219	0.931	0.8677777778	0.8733333333
21	0.557	0.7433333333	0.7725	0.9075	0.9443333333	0.9628666667	0.9807534247	0.926	0.8622222222	0.8711111111
